SYMBOL,SECTOR,MARKET_CAP
CGPOWER,Industrials,109283.79
CHALET,Consumer Cyclical,16180.38
CHAMBLFERT,Basic Materials,17983.28
CHEMBOND,Basic Materials,190.99
CHEMBONDCH,Basic Materials,387.39
CHEMCON,Basic Materials,526.79
CHEMFAB,Basic Materials,522.05
CHEMPLASTS,Basic Materials,4014.8
CHENNPETRO,Energy,14416.86
CHEVIOT,Consumer Cyclical,594.69
CHOICEIN,Financial Services,14359.16
CHOLAFIN,Financial Services,120563.26
CHOLAHLDNG,Financial Services,26259.72
CIEINDIA,Consumer Cyclical,17426.1
CIFL,Financial Services,959.65
CIGNITITEC,Technology,3348.06
CINELINE,Communication Services,294.56
CINEVISTA,Communication Services,83.97
CIPLA,Healthcare,97127.79
CLCIND,Consumer Cyclical,0.21
CLEAN,Basic Materials,7361.84
CLEANMAX,Utilities,9892.02
CLEDUCATE,Consumer Defensive,276.4
CLSEL,Consumer Defensive,1185.69
CMPDI,Basic Materials,0.0
CMSINFO,Industrials,4763.79
CNL,Technology,909.64
COALINDIA,Energy,285334.33
COASTCORP,Consumer Defensive,315.61
COCHINSHIP,Industrials,35473.14
COFFEEDAY,Consumer Cyclical,496.44
COFORGE,Technology,41324.89
COHANCE,Healthcare,11509.04
COLPAL,Consumer Defensive,50328.22
COMPINFO,Technology,9.17
COMPUSOFT,Consumer Defensive,106.11
COMSYN,Consumer Cyclical,612.99
CONCOR,Industrials,34546.99
CONCORDBIO,Healthcare,10802.67
CONFIPET,Energy,1990.52
CONSOFINVT,Financial Services,661.07
CONTROLPR,Industrials,973.52
CORALFINAC,Real Estate,126.96
CORDSCABLE,Industrials,202.01
COROMANDEL,Basic Materials,59264.91
CORONA,Healthcare,0.0
COSMOFIRST,Consumer Cyclical,1614.1
COUNCODOS,Real Estate,33.44
CPCAP,Financial Services,159.79
CPEDU,Consumer Defensive,335.44
CPPLUS,Industrials,21575.9
CRAFTSMAN,Consumer Cyclical,16089.4
CRAMC,Financial Services,4725.4
CREATIVEYE,Communication Services,12.72
CREDITACC,Financial Services,19576.82
CREST,Financial Services,944.25
CRISIL,Financial Services,27597.37
CRIZAC,Consumer Defensive,3504.2
CROMPTON,Consumer Cyclical,15330.79
CROWN,Industrials,134.58
CSBBANK,Financial Services,6333.98
CSLFINANCE,Financial Services,539.52
CTE,Technology,57.29
CUB,Financial Services,18466.21
CUBEXTUB,Basic Materials,123.95
CUMMINSIND,Industrials,128590.31
CUPID,Consumer Defensive,11616.79
CURAA,Technology,111.24
CYBERMEDIA,Communication Services,29.68
CYBERTECH,Technology,408.5
CYIENT,Industrials,9190.36
CYIENTDLM,Technology,2263.38
DABUR,Consumer Defensive,73475.11
DALBHARAT,Basic Materials,34459.5
DALMIASUG,Consumer Defensive,3048.98
DAMCAPITAL,Financial Services,928.53
DAMODARIND,Consumer Cyclical,53.15
DANGEE,Consumer Cyclical,46.5
DATAMATICS,Technology,4121.49
DATAPATTNS,Industrials,17965.82
DAVANGERE,Consumer Defensive,534.82
DBCORP,Communication Services,3680.07
DBEIL,Industrials,288.71
DBL,Industrials,6639.93
DBOL,Consumer Defensive,751.41
DBREALTY,Real Estate,5079.1
DBSTOCKBRO,Financial Services,90.4
DCAL,Healthcare,2365.99
DCBBANK,Financial Services,5614.24
DCI,Technology,656.74
DCM,Industrials,119.33
DCMFINSERV,Financial Services,11.39
DCMNVL,Consumer Cyclical,225.72
DCMSHRIRAM,Industrials,17866.48
DCMSIL,Industrials,542.74
DCMSRIND,Consumer Defensive,332.84
DCW,Basic Materials,1430.12
DCXINDIA,Industrials,1892.19
DDEVPLSTIK,Basic Materials,2198.26
DECCANCE,Basic Materials,870.67
DEEDEV,Industrials,2173.48
DEEPAKFERT,Basic Materials,12443.83
DEEPAKNTR,Basic Materials,18951.81
DEEPINDS,Energy,3047.36
DELHIVERY,Industrials,33195.32
DELPHIFX,Financial Services,3738.06
DELTACORP,Consumer Cyclical,1510.39
DELTAMAGNT,Consumer Cyclical,60.8
DEN,Communication Services,1210.03
DENORA,Industrials,378.45
DENTA,Industrials,658.98
DEVIT,Technology,294.52
DEVX,Real Estate,318.18
DEVYANI,Consumer Cyclical,12257.89
DGCONTENT,Communication Services,159.04
DHAMPURSUG,Consumer Defensive,891.87
DHANBANK,Financial Services,958.27
DHANUKA,Basic Materials,4533.3
DHARAN,Real Estate,82.56
DHARMAJ,Basic Materials,862.61
DHRUV,Industrials,66.91
DHUNINV,Financial Services,461.83
DIACABS,Industrials,6747.86
DIAMINESQ,Basic Materials,235.52
DIAMONDYD,Consumer Defensive,2328.97
DICIND,Basic Materials,461.52
DIFFNKG,Industrials,1013.03
DIGIDRIVE,Consumer Cyclical,75.3
DIGISPICE,Financial Services,340.74
DIGITIDE,Industrials,1307.94
DIGJAMLMTD,Consumer Cyclical,84.53
DISHTV,Communication Services,557.46
DIVGIITTS,Consumer Cyclical,1963.73
DIVISLAB,Healthcare,155299.11
DIXON,Technology,61417.84
DJML,Industrials,281.59
DLF,Real Estate,132254.48
DLINKINDIA,Technology,1434.89
DMART,Consumer Defensive,291590.16
DMCC,Basic Materials,518.79
DNAMEDIA,Communication Services,36.49
DODLA,Consumer Defensive,6112.11
DOLATALGO,Financial Services,1259.2
DOLLAR,Consumer Cyclical,1378.54
DOLPHIN,Energy,1662.39
DOMS,Industrials,14238.65
DONEAR,Consumer Cyclical,459.98
DPABHUSHAN,Consumer Cyclical,2317.72
DPSCLTD,Utilities,842.33
DPWIRES,Industrials,233.87
DRCSYSTEMS,Technology,231.39
DREAMFOLKS,Industrials,381.25
DREDGECORP,Industrials,2348.5
DRREDDY,Healthcare,99586.66
DSFCL,Basic Materials,189.03
DSSL,Technology,1171.63
DTIL,Consumer Defensive,131.03
DUCON,Industrials,112.0
DVL,Financial Services,781.78
DWARKESH,Consumer Defensive,855.35
DYCL,Industrials,1315.07
DYNAMATECH,Consumer Cyclical,6457.5
DYNPRO,Basic Materials,275.91
E2E,Technology,4686.5
EASEMYTRIP,Consumer Cyclical,2443.97
EASTSILK,Consumer Cyclical,31.72
EBGNG,Technology,4268.59
ECLERX,Technology,13933.79
ECOSMOBLTY,Industrials,748.32
EDELWEISS,Financial Services,10181.17
EFCIL,Real Estate,2649.84
EICHERMOT,Consumer Cyclical,181198.25
EIDPARRY,Basic Materials,14616.79
EIEL,Industrials,2896.95
EIFFL,Consumer Defensive,591.7
EIHAHOTELS,Consumer Cyclical,1826.26
EIHOTEL,Consumer Cyclical,18604.58
EIMCOELECO,Industrials,926.92
EKC,Industrials,1200.59
ELDEHSG,Real Estate,762.04
ELECON,Industrials,8862.68
ELECTCAST,Industrials,4802.96
ELECTHERM,Basic Materials,771.92
ELGIEQUIP,Industrials,15241.68
ELGIRUBCO,Consumer Cyclical,203.1
ELIN,Industrials,538.88
ELLEN,Basic Materials,3133.98
EMAMILTD,Consumer Defensive,17911.29
EMAMIPAP,Basic Materials,404.92
EMAMIREAL,Real Estate,266.69
EMBDL,Real Estate,6668.42
EMCURE,Healthcare,29479.28
EMIL,Consumer Cyclical,3651.65
EMKAY,Financial Services,512.0
EMMBI,Consumer Cyclical,148.53
EMMVEE,Technology,15959.94
EMSLIMITED,Industrials,1609.01
EMUDHRA,Technology,3690.59
ENDURANCE,Consumer Cyclical,31193.4
ENERGYDEV,Utilities,68.74
ENGINERSIN,Industrials,11178.91
ENIL,Communication Services,504.35
ENRIN,Utilities,93649.69
ENTERO,Healthcare,5051.62
EPACK,Consumer Cyclical,2125.11
EPACKPEB,Industrials,1564.99
EPIGRAL,Basic Materials,4102.31
EPL,Consumer Cyclical,6851.38
EQUIPPP,Technology,146.81
EQUITASBNK,Financial Services,6374.79
ERIS,Healthcare,18223.93
ESABINDIA,Industrials,7997.75
ESAFSFB,Financial Services,1209.74
ESCORTS,Industrials,32015.07
ESSARSHPNG,Industrials,492.27
ESSENTIA,Consumer Defensive,130.05
ESTER,Basic Materials,800.79
ETERNAL,Consumer Cyclical,213270.71
ETHOSLTD,Consumer Cyclical,6157.48
EUREKAFORB,Consumer Cyclical,8935.45
EUROBOND,Industrials,377.3
EUROPRATIK,Basic Materials,2307.06
EUROTEXIND,Real Estate,15.06
EVEREADY,Industrials,2033.16
EVERESTIND,Industrials,506.59
EXCELINDUS,Basic Materials,1111.13
EXCELSOFT,Technology,945.65
EXICOM,Industrials,1245.1
EXIDEIND,Consumer Cyclical,25273.23
EXPLEOSOL,Technology,1158.86
EXXARO,Industrials,293.05
FABTECH,Healthcare,657.03
FACT,Basic Materials,51167.22
FAIRCHEMOR,Basic Materials,644.95
FAZE3Q,Consumer Cyclical,1093.89
FCL,Basic Materials,2572.0
FCSSOFT,Technology,271.82
FDC,Healthcare,5522.52
FEDERALBNK,Financial Services,67787.97
FEDFINA,Financial Services,5079.01
FEL,Consumer Cyclical,35.17
FELDVR,Consumer Cyclical,132.97
FIBERWEB,Consumer Cyclical,105.41
FIEMIND,Consumer Cyclical,5345.52
FILATEX,Consumer Cyclical,1854.39
FILATFASH,Consumer Cyclical,155.01
FINCABLES,Industrials,12395.73
FINEORG,Basic Materials,13511.54
FINKURVE,Financial Services,867.39
FINOPB,Financial Services,1051.37
FINPIPE,Industrials,9827.48
